0,0,-0.72,0
0.01,2.41681266378854e-12,-0.719999999993794,1.63440565229022e-12
0.02,4.88509394419186e-11,-0.719999999883361,2.57301901271475e-11
0.03,2.92496090552643e-10,-0.719999999342399,1.28401354731423e-10
0.04,1.07228772808563e-09,-0.719999997737355,3.99888683604728e-10
0.05,2.9762103372857e-09,-0.719999994108708,9.61934440969945e-10
0.06,6.88189130219115e-09,-0.719999987187377,1.96561501467511e-09
0.07,1.39686008164544e-08,-0.719999975418738,3.58977848245011e-09
0.08,2.57026230906508e-08,-0.719999956977545,6.0400440275064e-09
0.09,4.38035718335944e-08,-0.719999929770988,9.54819566263785e-09
0.1,7.02018220415869e-08,-0.719999891435064,1.43717449560119e-08
0.11,1.06996914153747e-07,-0.719999839330399,2.07934444913141e-08
0.12,1.56424293555152e-07,-0.719999770540742,2.91205892135856e-08
0.13,2.20834144802173e-07,-0.719999681874352,3.96840229063494e-08
0.14,3.02682442378076e-07,-0.719999569866924,5.28368478902551e-08
0.15,4.04531506694452e-07,-0.719999430784728,6.89528989964711e-08
0.16,5.29055788647584e-07,-0.719999260627357,8.84250776565536e-08
0.17,6.79048376227362e-07,-0.71999905513012,1.11663647056753e-07
0.18,8.57424569845423e-07,-0.719998809766414,1.39094570343755e-07
0.19,1.0672203669588e-06,-0.719998519750351,1.71157940669487e-07
0.2,1.31158534365554e-06,-0.719998180039768,2.08306515260242e-07
0.21,1.59377080995486e-06,-0.719997785339558,2.51004334827739e-07
0.22,1.91711498830524e-06,-0.719997330105276,2.99725390247697e-07
0.23,2.28502723971492e-06,-0.719996808546939,3.54952292324083e-07
0.24,2.70097311280511e-06,-0.719996214633011,4.17174905996257e-07
0.25,3.16846139438022e-06,-0.719995542094574,4.86888923608156e-07
0.26,3.6910336114481e-06,-0.719994784429709,5.64594368052084e-07
0.27,4.2722557704805e-06,-0.7199939349081,6.50794031358357e-07
0.28,4.91571165695033e-06,-0.719992986575846,7.45991864584222e-07
