377731.601574516,-1.92663660105921e-11,1746324.63633661,1.41467690445002e-07,735533.267652909,1.57359216764543e-07,2175260.44747135,2.55925185297103e-07,7841496.98056414
373445.386887058,-9.79945167112532e-11,1728089.15120255,1.41326489244295e-07,728228.168745964,1.56707201948339e-07,2161133.73640722,2.54410527212627e-07,7776573.50378453
369157.368990375,-1.79418700916041e-10,1709680.1475498,1.41149748140043e-07,720928.754656989,1.55876598061062e-07,2146055.53834205,2.52639541168692e-07,7710847.1658084
364866.996014452,-2.63464003553949e-10,1691103.13518017,1.40936016696222e-07,713635.662497479,1.54868550135565e-07,2130032.33941319,2.50614964646603e-07,7644335.52985595
360573.698024181,-3.50048955514301e-10,1672363.6035633,1.40683763710729e-07,706349.522228892,1.53684411741636e-07,2113071.58484015,2.48339791959809e-07,7577056.15245154
356276.889335513,-4.39085627187616e-10,1653467.02091108,1.40391382002472e-07,699070.956676105,1.5232574346276e-07,2095181.66879339,2.45817270243067e-07,7509026.58049573
351975.970818435,-5.30479733944245e-10,1634418.83326587,1.40057193397327e-07,691800.581541412,1.50794311118017e-07,2076371.9231803,2.4305089518266e-07,7440264.34836236
347670.332184288,-6.24130753406275e-10,1615224.46360216,1.39679453902631e-07,684539.005419049,1.49092083730824e-07,2056652.60536765,2.4004440649307e-07,7370786.97502086
343359.354255009,-7.19932054348866e-10,1595889.31094204,1.39256359059579e-07,677286.82981026,1.47221231246577e-07,2036034.88486097,2.36801783145762e-07,7300611.96118416
339042.411211891,-8.17771037047879e-10,1576418.74948436,1.38786049462601e-07,670044.649138873,1.45184122001568e-07,2014530.82896245,2.33327238356007e-07,7229756.78648237
334718.872821501,-9.1752928487182e-10,1556818.12774763,1.38266616434546e-07,662813.050767399,1.42983319945864e-07,1992153.38742989,2.29625214333898e-07,7158238.90666268
330388.106636446,-1.01908272689746e-09,1537092.76772674,1.37696107846223e-07,655592.615013629,1.40621581623192e-07,1968916.37616052,2.25700376805995e-07,7086075.75081557
326049.480168717,-1.12230181131017e-09,1517247.96406359,1.37072534068639e-07,648383.915167738,1.38101852911165e-07,1944834.45992429,2.2155760931422e-07,7013284.71862767
321702.363033381,-1.22705168933218e-09,1497288.98323149,1.36393874046064e-07,641187.517509886,1.35427265525522e-07,1919923.13417236,2.17202007298892e-07,6939883.17766157
317346.129060457,-1.33319240940427e-09,1477221.06273357,1.35658081477855e-07,634003.981328297,1.32601133292349e-07,1894198.70594745,2.12638871972984e-07,6865888.4606627
312980.158372843,-1.44057912132942e-09,1457049.41031503,1.34863091096814e-07,626833.858937822,1.29626948192581e-07,1867678.27392349,2.07873703994914e-07,6791317.8628937
308603.839428227,-1.54906229007015e-09,1436779.2031894,1.34006825031694e-07,619677.695698982,1.26508376183363e-07,1840379.70760312,2.02912196947359e-07,6716188.63949627
304216.571022951,-1.65848791887517e-09,1416415.5872788,1.3308719924135e-07,612536.030037469,1.23249252801181e-07,1812321.62570212,1.97760230629795e-07,6640518.00288102
299817.764255897,-1.76869778139505e-09,1395963.67646811,1.32102130007925e-07,605409.393464113,1.19853578551927e-07,1783523.37375095,1.92423864172642e-07,6564323.12014527
295406.844450448,-1.8795296624317e-09,1375428.55187325,1.31049540476374e-07,598298.310595297,1.16325514093386e-07,1754005.00094406,1.86909328981059e-07,6487621.1105192
290983.253032713,-1.99081760695141e-09,1354815.26112335,1.29927367227556e-07,591203.299173829,1.1266937521589e-07,1723787.23626856,1.81223021516611e-07,6410429.0428405
286546.449364217,-2.10239217697752e-09,1334128.8176571,1.28733566872102e-07,584124.870090244,1.08889627627179e-07,1692891.46394427,1.75371495925173e-07,6332763.93305766
282095.912527336,-2.21408071596482e-09,1313374.200033,1.27466122652223e-07,577063.527404545,1.04990881547743e-07,1661339.6982081,1.69361456519594e-07,6254642.74176219
277631.143061806,-2.32570762024538e-09,1292556.35125372,1.26123051038638e-07,570019.768368372,1.00977886123228e-07,1629154.55747603,1.63199750125762e-07,6176082.37174991
273151.664650739,-2.43709461712274e-09,1271680.17810442,1.24702408309809e-07,562994.083447591,9.68555236606872e-08,1596359.23791656,1.56893358300851e-07,6097099.66561153
268657.025754585,-2.54806104918015e-09,1250750.55050521,1.23202297100723e-07,555986.956345294,9.26288036957388e-08,1562977.48647013,1.50449389432644e-07,6017711.40335259
264146.801191605,-2.65842416435737e-09,1229772.30087752,1.21620872908514e-07,548998.864025215,8.8302856897911e-08,1529033.5733493,1.43875070728914e-07,5937934.30004307
259620.59366344,-2.76799941134033e-09,1208750.22352452,1.19956350542307e-07,542030.276735539,8.38829288216798e-08,1494552.264055,1.37177740105965e-07,5857785.00349677
255078.035224476,-2.8766007397985e-09,1187689.07402559,1.18207010504767e-07,535081.658033112,7.93743735109239e-08,1459558.7909444,1.30364837985495e-07,5777280.09198059
250518.788693724,-2.98404090499563e-09,1166593.56864468,1.16371205292948e-07,528153.464808037,7.47826469647254e-08,1424078.82438647,1.23443899009039e-07,5696436.07195389
245942.549008053,-3.09013177629195e-09,1145468.38375274,1.14447365606212e-07,521246.147308653,7.01133004726402e-08,1388138.44354134,1.16422543679278e-07,5615269.37583806
241349.044515664,-3.19468464904783e-09,1124318.15526401,1.12434006449116e-07,514360.14916689,6.53719738277468e-08,1351764.1068,1.09308469937606e-07,5533796.35981651
236738.038208743,-3.29751055943306e-09,1103147.47808627,1.10329733117354e-07,507495.907423995,6.05643884259584e-08,1314982.62192092,1.02109444687319e-07,5452033.30166504
232109.328894368,-3.39842060163933e-09,1081960.90558502,1.0813324705508e-07,500653.852556622,5.5696340260244e-08,1277821.11590049,9.4833295271896e-08,5369996.39861295
227462.752302731,-3.49722624698892e-09,1060762.94906145,1.05843351572094e-07,493834.408503276,5.07736928185596e-08,1240307.00461399,8.7487900917789e-08,5287701.76523476
222798.182131904,-3.59373966442825e-09,1039558.07724436,1.03458957409679e-07,487037.99269111,4.58023698944271e-08,1202467.96226418,8.00811841512121e-08,5205165.4313729
218115.531028369,-3.68777404189098e-09,1018350.71579576,1.00979088144073e-07,480265.016063072,4.0788348319234e-08,1164331.89067445,7.26211021983709e-08,5122403.34009122
213414.751502658,-3.77914390801348e-09,997145.246830337,9.84028854168901e-08,473515.883105382,3.57376506254367e-08,1125926.88846332,6.51156383785899e-08,5039431.34565971
208695.836779522,-3.86766545368275e-09,975946.008448619,9.57296139820454e-08,466790.991875346,3.0656337649962e-08,1087281.22013727,5.75727934997599e-08,4956265.21157021
203958.821582082,-3.95315685289644e-09,954757.294283821,9.29586665590886e-08,460090.7340295,2.55505010871912e-08,1048423.28513857,5.00005772655005e-08,4872920.60858348
199203.782849549,-4.03543858241387e-09,933583.353062353,9.00895684831451e-08,453415.494852072,2.04262560009893e-08,1009381.58688462,4.2406999703386e-08,4789413.11280751
194430.840388122,-4.11433373967786e-09,912428.388177923,8.71219821420177e-08,446765.653283752,1.52897333053184e-08,970184.701835241,3.48000626235315e-08,4705758.20380729
189640.157454787,-4.18966835848832e-09,891296.557279198,8.40557111913535e-08,440141.581950787,1.01470722230179e-08,930861.248623957,2.71877511167696e-08,4621971.26274599
184831.941273791,-4.2612717219107e-09,870191.971870965,8.08907045391478e-08,433543.64719436,5.00441273238684e-09,891439.857289072,1.95780251015773e-08,4538067.57055772
180006.443485649,-4.32897667190554e-09,849118.696928745,7.76270600912398e-08,426972.209100278,-1.32111988771112e-10,851949.138640097,1.19788109288257e-08,4454062.30615183
175163.96052862,-4.39261991516889e-09,828080.750526809,7.42650282498514e-08,420427.621528951,-5.25638311196496e-09,812417.653794594,4.39799305333145e-09,4369970.54464892
170304.833952653,-4.4520423246783e-09,807082.103479523,7.0805015157627e-08,413910.232145647,-1.03623036900093e-08,772873.883920161,-3.1565942189135e-09,4285807.25564848
165429.450665884,-4.50708923644395e-09,786126.678995979,6.72475856800549e-08,407420.382451036,-1.54438061625259e-08,733346.20021583,-1.0677174899073e-08,4201587.30152828
