0,0,-0.72,0
0.01,1.08288362322769e-13,-0.719999999994009,7.21018617998299e-14
0.02,1.53121235589621e-12,-0.719999999888165,7.63615839746616e-13
0.03,5.96063144202801e-12,-0.71999999937308,2.13907706009759e-12
0.04,1.01897400794698e-11,-0.719999997855332,1.43533104352308e-12
0.05,-4.48794994127313e-12,-0.719999994448798,-9.27559856789026e-12
0.06,-8.78585411301013e-11,-0.719999988000001,-4.53114351352335e-11
0.07,-3.40144160735115e-10,-0.719999977120207,-1.31516368245791e-10
0.08,-9.33339425762702e-10,-0.719999960208099,-3.0434793401697e-10
0.09,-2.13268164467909e-09,-0.719999935460675,-6.13953526758055e-10
0.1,-4.31678984709635e-09,-0.719999900877716,-1.12626754333365e-09
0.11,-7.99563484227712e-09,-0.71999985426583,-1.9251462322715e-09
0.12,-1.38261760000852e-08,-0.71999979324521,-3.11454236044571e-09
0.13,-2.2626055939582e-08,-0.719999715259193,-4.82070947348073e-09
0.14,-3.53860819090296e-08,-0.71999961758526,-7.19441803134989e-09
0.15,-5.32823150285055e-08,-0.719999497346169,-1.04131636549499e-08
0.16,-7.76884706606764e-08,-0.719999351520631,-1.46833503468554e-08
0.17,-1.10189079942119e-07,-0.719999176953582,-2.02424371843188e-08
0.18,-1.52593562694097e-07,-0.719998970366385,-2.73610436529952e-08
0.19,-2.06951094652843e-07,-0.719998728367229,-3.63450147379718e-08
0.2,-2.75565970831262e-07,-0.719998447461818,-4.7537450923181e-08
0.21,-3.61013093543953e-07,-0.719998124064317,-6.13207098890656e-08
0.22,-4.66153240310018e-07,-0.719997754508481,-7.81183861166715e-08
0.23,-5.94147864581726e-07,-0.719997335058873,-9.83972724465433e-08
0.24,-7.48473312499487e-07,-0.719996861922187,-1.22669304759051e-07
0.25,-9.3293446448745e-07,-0.719996331258643,-1.51493488164661e-07
0.26,-1.15167790386904e-06,-0.719995739193495,-1.85477801031674e-07
0.27,-1.40920476185827e-06,-0.719995081828645,-2.25281072144769e-07
0.28,-1.71038338906335e-06,-0.719994355254349,-2.71614826284977e-07
0.29,-2.06046196845882e-06,-0.71999355556103,-3.25245094318487e-07
0.3,-2.46508112990608e-06,-0.719992678851161,-3.86994185116726e-07
0.31,-2.93028656877719e-06,-0.719991721251234,-4.57742417924501e-07
0.32,-3.46254162482278e-06,-0.719990678923783,-5.38429814841017e-07
0.33,-4.06873975020191e-06,-0.71998954807948,-6.30057753700751e-07
0.34,-4.75621678941263e-06,-0.719988324989275,-7.33690581796229e-07
0.35,-5.53276300535051e-06,-0.719987005996594,-8.50457190647804e-07
0.36,-6.40663480824064e-06,-0.719985587529575,-9.81552551544004e-07
0.37,-7.3865661700957e-06,-0.719984066113338,-1.12823921101971e-06
0.38,-8.48177972997905e-06,-0.719982438382289,-1.2918487449565e-06
0.39,-9.70199761030261e-06,-0.719980701092437,-1.47378316967752e-06
0.4,-1.10574519700245e-05,-0.719978851133734,-1.67551630830496e-06
0.41,-1.25588953177946e-05,-0.71997688554242,-1.89859511073181e-06
0.42,-1.42176105994254e-05,-0.719974801513362,-2.14464092577419e-06
0.43,-1.60454210628777e-05,-0.719972596412402,-2.41535072434097e-06
0.44,-1.80546998934046e-05,-0.719970267788679,-2.71249827271466e-06
0.45,-2.02583796038724e-05,-0.719967813386935,-3.03793525522962e-06
0.46,-2.26699611616802e-05,-0.719965231159802,-3.39359234573744e-06
0.47,-2.53035228340449e-05,-0.719962519280044,-3.78148022726506e-06
0.48,-2.81737287367698e-05,-0.719959676152767,-4.20369055922155e-06
0.49,-3.12958370765244e-05,-0.71995670042758,-4.66239689142462e-06
0.5,-3.46857080816995e-05,-0.719953591010702,-5.15985552413143e-06
0.51,-3.83598116208998e-05,-0.719950347077008,-5.69840631319469e-06
0.52,-4.23352345104517e-05,-0.719946968082004,-6.28047341943967e-06
0.53,-4.66296875128178e-05,-0.719943453773738,-6.90856600137226e-06
0.54,-5.12615120268471e-05,-0.719939804204618,-7.58527885037645e-06
0.55,-5.62496864689263e-05,-0.719936019743149,-8.31329296762772e-06
0.56,-6.16138323420055e-05,-0.719932101085574,-9.09537608202271e-06
